elapsed_sec,pitch_accel,pitch_gyro,pitch_kalman,roll_accel,roll_gyro,roll_kalman
3.89,1.573,0.000,0.051,4.198,0.000,0.136
3.90,1.408,-0.002,0.133,4.305,0.001,0.393
3.91,1.688,-0.004,0.266,4.126,0.001,0.716
3.92,1.764,-0.002,0.427,3.914,0.002,1.060
3.93,1.636,-0.002,0.576,4.221,0.002,1.449
3.94,1.780,-0.005,0.737,4.218,0.003,1.825
3.95,1.698,-0.006,0.875,4.298,0.003,2.181
3.96,1.397,-0.005,0.954,4.253,0.005,2.496
3.97,1.643,-0.004,1.062,4.235,0.006,2.768
3.98,1.371,-0.004,1.111,3.924,0.006,2.951
3.99,1.599,-0.005,1.189,4.297,0.005,3.168
4.00,1.486,-0.004,1.238,4.291,0.006,3.351
4.01,1.507,-0.003,1.283,4.279,0.007,3.504
4.02,1.727,-0.002,1.357,4.136,0.008,3.609
4.03,1.595,-0.001,1.397,4.146,0.007,3.697
4.04,1.322,-0.001,1.384,4.360,0.005,3.806
4.05,1.710,-0.000,1.439,4.347,0.006,3.897
4.06,1.709,0.003,1.487,3.764,0.007,3.875
4.07,1.597,0.002,1.504,4.151,0.005,3.919
4.08,1.464,0.002,1.497,4.522,0.004,4.019
4.09,1.556,0.000,1.506,4.336,0.003,4.071
4.10,1.642,0.001,1.529,4.293,0.006,4.111
4.11,1.427,-0.001,1.511,4.246,0.006,4.133
4.12,1.452,-0.001,1.501,3.998,0.007,4.111
4.13,1.641,-0.000,1.525,4.112,0.007,4.112
4.14,1.468,0.002,1.517,4.286,0.007,4.141
4.15,1.776,0.002,1.561,4.026,0.007,4.121
4.16,1.746,0.001,1.591,4.400,0.007,4.168
4.17,1.433,0.002,1.565,4.259,0.006,4.183
4.18,1.493,0.002,1.553,4.100,0.008,4.170
4.19,1.379,-0.000,1.522,3.827,0.007,4.111
4.20,1.595,0.000,1.534,3.854,0.007,4.068
4.21,1.717,0.002,1.566,4.151,0.008,4.083
4.22,1.545,0.002,1.563,4.206,0.008,4.104
4.23,1.677,0.001,1.581,3.966,0.008,4.081
4.24,1.507,0.000,1.568,4.339,0.009,4.125
4.25,1.716,-0.001,1.592,4.303,0.008,4.154
4.26,1.454,-0.001,1.569,4.221,0.009,4.166
4.27,2.008,-0.002,1.641,4.215,0.009,4.174
4.28,1.524,-0.003,1.621,4.076,0.009,4.158
4.29,1.442,-0.003,1.591,4.369,0.008,4.192
4.30,1.817,-0.004,1.628,3.909,0.008,4.145
4.31,1.496,-0.004,1.606,4.425,0.009,4.192
4.32,1.432,-0.005,1.576,4.338,0.008,4.216
4.33,1.622,-0.006,1.583,4.184,0.010,4.212
4.34,1.619,-0.005,1.589,4.356,0.008,4.235
4.35,1.573,-0.005,1.587,3.910,0.008,4.181
4.36,1.777,-0.007,1.617,4.379,0.008,4.214
4.37,1.450,-0.007,1.589,4.096,0.009,4.195
4.38,1.470,-0.008,1.568,4.299,0.010,4.213
4.39,1.777,-0.008,1.603,4.029,0.009,4.181
4.40,1.592,-0.007,1.603,4.283,0.008,4.198
4.41,1.567,-0.008,1.596,4.157,0.009,4.192
4.42,1.622,-0.007,1.601,4.475,0.008,4.238
4.43,1.357,-0.008,1.560,4.193,0.007,4.230
4.44,2.017,-0.007,1.636,4.267,0.006,4.236
4.45,1.565,-0.007,1.624,4.176,0.007,4.226
4.46,1.528,-0.006,1.609,4.382,0.007,4.252
4.47,1.737,-0.006,1.631,4.210,0.007,4.246
4.48,1.325,-0.005,1.580,4.381,0.007,4.269
4.49,1.394,-0.007,1.548,4.220,0.007,4.260
4.50,1.293,-0.008,1.504,3.939,0.007,4.207
4.51,1.777,-0.010,1.548,4.027,0.007,4.177
4.52,1.730,-0.011,1.579,3.962,0.006,4.139
4.53,1.738,-0.010,1.606,4.394,0.006,4.183
4.54,1.670,-0.011,1.616,4.009,0.006,4.153
4.55,1.568,-0.011,1.608,4.271,0.005,4.172
4.56,1.698,-0.010,1.624,4.233,0.003,4.181
4.57,1.755,-0.011,1.644,4.266,0.004,4.196
4.58,1.612,-0.009,1.641,4.362,0.005,4.224
4.59,1.324,-0.009,1.588,4.149,0.005,4.212
4.60,1.330,-0.010,1.544,4.448,0.004,4.251
4.61,1.533,-0.010,1.543,4.403,0.004,4.276
4.62,1.737,-0.010,1.575,4.038,0.004,4.236
4.63,1.558,-0.013,1.570,4.307,0.003,4.248
4.64,1.790,-0.013,1.606,4.133,0.003,4.228
4.65,1.277,-0.014,1.551,4.242,0.004,4.231
4.66,2.048,-0.015,1.633,4.520,0.004,4.280
4.67,1.379,-0.015,1.590,4.190,0.006,4.266
4.68,1.632,-0.016,1.597,4.112,0.005,4.240
4.69,1.348,-0.018,1.553,4.064,0.004,4.210
4.70,1.719,-0.017,1.582,4.141,0.003,4.197
4.71,1.450,-0.020,1.557,4.371,0.003,4.226
4.72,1.465,-0.019,1.543,4.116,0.004,4.209
4.73,1.464,-0.020,1.528,4.173,0.001,4.201
4.74,1.875,-0.021,1.585,3.841,0.001,4.140
4.75,1.754,-0.021,1.614,4.372,0.000,4.179
4.76,1.769,-0.023,1.638,4.252,0.001,4.192
4.77,1.587,-0.024,1.629,4.267,0.001,4.204
4.78,1.648,-0.025,1.631,4.415,0.002,4.241
4.79,1.590,-0.027,1.623,4.369,0.003,4.263
4.80,1.641,-0.029,1.624,4.349,0.002,4.276
4.82,1.268,-0.027,1.566,4.213,0.003,4.266
4.82,1.745,-0.027,1.597,4.011,0.003,4.224
4.83,1.395,-0.026,1.564,4.110,0.002,4.204
4.84,1.853,-0.027,1.611,3.840,0.001,4.143
4.86,1.587,-0.028,1.606,4.160,0.002,4.146
4.86,1.735,-0.027,1.629,4.312,0.003,4.175
4.87,1.763,-0.027,1.651,4.163,0.005,4.175
4.89,1.790,-0.029,1.673,4.110,0.003,4.163
4.90,1.478,-0.028,1.641,4.076,0.003,4.148
4.90,1.577,-0.029,1.630,4.028,0.004,4.129
4.91,1.480,-0.030,1.604,4.199,0.003,4.140
4.92,1.879,-0.028,1.651,4.032,0.004,4.122
4.93,1.542,-0.027,1.634,4.291,0.004,4.151
4.95,1.638,-0.024,1.637,4.499,0.003,4.208
4.95,1.660,-0.025,1.640,4.179,0.004,4.204
4.96,1.619,-0.025,1.636,4.297,0.003,4.219
4.98,1.821,-0.025,1.667,4.090,0.002,4.197
4.99,1.488,-0.026,1.637,4.554,0.002,4.256
4.99,1.607,-0.027,1.631,4.210,0.002,4.249
5.00,1.854,-0.026,1.669,4.505,0.003,4.292
5.02,1.277,-0.027,1.603,4.445,0.001,4.317
5.03,1.647,-0.027,1.611,4.387,0.001,4.329
5.04,1.711,-0.025,1.629,4.390,0.003,4.340
5.05,1.581,-0.026,1.620,4.415,0.002,4.353
5.06,1.518,-0.023,1.605,4.160,0.002,4.320
5.07,1.589,-0.025,1.601,4.041,0.001,4.273
5.08,1.780,-0.023,1.633,3.975,0.002,4.223
5.09,1.525,-0.022,1.615,4.261,0.002,4.230
5.10,1.535,-0.021,1.603,4.130,0.002,4.213
5.11,1.746,-0.021,1.627,4.170,0.002,4.206
5.12,1.645,-0.021,1.630,4.230,0.002,4.210
5.13,1.410,-0.020,1.594,4.094,0.003,4.191
5.14,1.839,-0.020,1.635,4.359,0.003,4.220
5.15,1.860,-0.020,1.672,4.532,0.003,4.272
5.16,1.675,-0.021,1.672,4.082,0.004,4.241
5.17,1.670,-0.019,1.673,4.443,0.005,4.276
5.18,1.355,-0.018,1.621,4.449,0.005,4.304
5.19,1.616,-0.017,1.621,4.446,0.005,4.328
5.20,1.601,-0.019,1.616,4.713,0.006,4.393
5.21,1.660,-0.022,1.621,4.108,0.006,4.345
5.22,1.745,-0.023,1.641,4.352,0.007,4.347
5.23,1.322,-0.024,1.586,3.824,0.005,4.258
5.24,1.446,-0.024,1.563,4.301,0.006,4.266
5.25,1.400,-0.025,1.535,4.249,0.006,4.263
5.26,1.378,-0.024,1.510,4.406,0.007,4.288
5.27,1.650,-0.023,1.534,4.328,0.008,4.295
5.28,1.643,-0.024,1.552,4.209,0.008,4.282
5.29,1.574,-0.024,1.555,4.259,0.009,4.279
5.30,1.765,-0.022,1.592,4.183,0.008,4.262
5.31,1.518,-0.020,1.581,4.352,0.008,4.277
5.32,1.589,-0.020,1.583,4.441,0.008,4.304
5.33,1.471,-0.018,1.566,3.974,0.007,4.249
5.34,1.691,-0.017,1.587,4.477,0.006,4.286
5.35,1.648,-0.018,1.597,4.593,0.007,4.338
5.36,1.786,-0.017,1.629,4.327,0.007,4.336
5.37,1.472,-0.018,1.602,4.234,0.006,4.319
5.38,1.485,-0.017,1.583,4.423,0.007,4.337
5.39,1.496,-0.017,1.569,3.983,0.006,4.277
5.40,1.746,-0.015,1.600,4.062,0.006,4.241
5.41,1.501,-0.015,1.583,4.256,0.006,4.243
5.42,1.703,-0.017,1.602,4.202,0.004,4.235
5.43,1.874,-0.017,1.647,4.385,0.003,4.260
5.44,1.756,-0.020,1.663,4.318,0.004,4.270
5.45,1.494,-0.019,1.636,4.078,0.003,4.237
5.46,1.525,-0.018,1.618,3.946,0.003,4.189
5.47,1.515,-0.019,1.600,4.131,0.004,4.180
5.48,1.690,-0.022,1.613,4.022,0.004,4.153
5.49,1.241,-0.020,1.552,4.104,0.003,4.144
5.50,1.944,-0.019,1.619,4.282,0.002,4.167
5.51,1.498,-0.020,1.597,4.197,0.003,4.172
5.52,1.525,-0.019,1.586,4.330,0.003,4.199
5.53,1.623,-0.019,1.592,4.406,0.003,4.234
5.54,1.422,-0.021,1.562,4.126,0.003,4.216
5.55,1.363,-0.020,1.529,4.359,0.002,4.239
5.56,1.548,-0.021,1.531,4.466,0.002,4.277
5.57,1.363,-0.021,1.503,4.052,0.002,4.240
5.58,1.569,-0.019,1.516,4.313,0.001,4.251
5.59,1.595,-0.017,1.531,4.291,0.001,4.258
5.60,1.650,-0.019,1.549,4.387,0.002,4.280
5.61,1.281,-0.019,1.505,4.366,0.002,4.295
5.62,1.451,-0.020,1.495,4.429,0.003,4.318
5.63,1.740,-0.021,1.535,4.457,0.002,4.341
5.64,1.516,-0.022,1.530,4.338,0.001,4.339
5.65,1.801,-0.023,1.575,3.821,0.001,4.253
5.66,1.588,-0.023,1.577,4.019,0.002,4.214
5.67,1.582,-0.022,1.579,4.049,0.001,4.186
5.68,1.712,-0.020,1.603,4.426,-0.000,4.225
5.69,1.842,-0.019,1.644,4.031,0.000,4.193
5.70,1.677,-0.019,1.650,4.283,0.000,4.208
5.71,1.837,-0.017,1.682,4.389,-0.000,4.238
5.72,1.476,-0.018,1.646,4.136,-0.000,4.221
5.73,1.544,-0.018,1.629,4.040,-0.003,4.189
5.74,1.560,-0.021,1.615,4.179,-0.002,4.188
5.75,1.750,-0.021,1.638,3.959,-0.001,4.150
5.76,1.526,-0.019,1.621,4.330,0.000,4.181
