elapsed_sec,pitch_accel,pitch_gyro,pitch_kalman,roll_accel,roll_gyro,roll_kalman
3.89,1.742,0.001,0.057,3.515,-0.000,0.113
3.90,1.542,0.001,0.148,3.896,-0.001,0.345
3.91,1.342,0.003,0.253,3.578,-0.000,0.626
3.92,1.445,0.002,0.380,3.863,-0.001,0.972
3.93,1.394,0.003,0.507,3.497,-0.000,1.284
3.94,1.605,0.006,0.657,3.607,-0.002,1.597
3.95,1.756,0.005,0.815,3.453,-0.002,1.865
3.96,1.571,0.006,0.930,3.320,-0.001,2.085
3.97,1.622,0.007,1.039,3.446,-0.002,2.296
3.98,1.507,0.006,1.112,3.518,-0.003,2.489
3.99,1.669,0.005,1.201,3.340,-0.003,2.626
4.00,1.710,0.007,1.285,3.486,-0.003,2.767
4.01,1.714,0.006,1.355,3.558,-0.002,2.897
4.02,1.995,0.008,1.462,3.595,-0.002,3.012
4.03,1.764,0.008,1.512,3.299,-0.001,3.061
4.04,1.772,0.009,1.556,3.750,-0.000,3.175
4.05,1.665,0.008,1.573,3.447,0.002,3.222
4.06,1.744,0.008,1.602,3.499,0.001,3.268
4.07,1.687,0.010,1.617,3.787,0.002,3.355
4.08,1.682,0.010,1.628,3.545,0.002,3.386
4.09,1.710,0.008,1.641,3.478,0.001,3.401
4.10,1.773,0.008,1.662,3.563,0.000,3.427
4.11,1.854,0.010,1.696,3.188,0.000,3.388
4.12,1.718,0.009,1.699,3.617,0.000,3.426
4.13,1.530,0.010,1.671,3.572,0.001,3.451
4.14,1.763,0.010,1.687,3.569,0.001,3.470
4.15,1.625,0.011,1.678,3.402,0.001,3.459
4.16,1.568,0.010,1.658,3.359,0.001,3.442
4.17,1.405,0.009,1.615,3.242,0.000,3.408
4.18,1.651,0.009,1.621,3.578,-0.000,3.437
4.19,1.622,0.009,1.621,3.630,-0.001,3.469
4.20,1.902,0.008,1.668,3.458,-0.001,3.467
4.21,1.479,0.008,1.637,3.582,-0.001,3.487
4.22,1.649,0.010,1.640,3.560,-0.001,3.499
4.23,1.525,0.011,1.622,3.223,-0.002,3.452
4.24,1.572,0.012,1.614,3.565,-0.002,3.471
4.25,1.732,0.011,1.633,3.391,-0.002,3.457
4.26,1.738,0.012,1.651,3.328,-0.003,3.435
4.27,1.517,0.009,1.627,3.380,-0.004,3.425
4.28,1.751,0.009,1.648,3.266,-0.004,3.399
4.29,1.964,0.010,1.701,3.485,-0.004,3.413
4.30,1.748,0.013,1.711,3.503,-0.004,3.428
4.31,1.848,0.012,1.734,3.305,-0.003,3.408
4.32,1.739,0.011,1.734,3.434,-0.004,3.412
4.33,1.788,0.013,1.744,3.439,-0.004,3.416
4.34,1.710,0.015,1.740,3.180,-0.005,3.377
4.35,1.694,0.016,1.733,3.587,-0.005,3.411
4.36,1.457,0.017,1.688,3.543,-0.004,3.434
4.37,1.435,0.017,1.646,3.425,-0.004,3.432
4.38,1.385,0.018,1.603,4.039,-0.004,3.534
4.39,1.575,0.018,1.599,3.417,-0.004,3.514
4.40,1.853,0.018,1.641,3.693,-0.004,3.544
4.41,1.212,0.018,1.570,3.588,-0.002,3.553
4.42,1.680,0.018,1.588,3.592,-0.001,3.560
4.43,1.585,0.020,1.589,3.376,-0.002,3.530
4.44,1.868,0.020,1.635,3.484,-0.002,3.522
4.45,1.655,0.020,1.639,3.388,-0.002,3.499
4.46,1.779,0.021,1.663,3.654,-0.003,3.525
4.47,1.700,0.022,1.670,3.402,-0.002,3.504
4.48,1.599,0.022,1.659,3.570,-0.002,3.515
4.49,1.722,0.023,1.670,3.330,-0.002,3.485
4.50,1.875,0.024,1.705,3.493,-0.002,3.487
4.51,1.541,0.023,1.677,3.516,-0.003,3.490
4.52,1.746,0.021,1.687,3.419,-0.004,3.478
4.53,2.060,0.021,1.750,3.528,-0.004,3.486
4.54,1.695,0.023,1.742,3.406,-0.005,3.472
4.55,1.756,0.024,1.745,3.453,-0.002,3.471
4.56,1.633,0.024,1.726,2.999,-0.002,3.392
4.57,1.665,0.026,1.718,3.223,-0.003,3.364
4.58,1.605,0.026,1.699,3.162,-0.003,3.330
4.59,1.634,0.027,1.689,3.426,-0.003,3.345
4.61,1.561,0.027,1.668,3.359,-0.003,3.348
4.61,1.859,0.026,1.699,3.287,-0.003,3.338
4.62,1.415,0.027,1.652,3.550,-0.003,3.373
4.63,1.440,0.025,1.616,3.527,-0.004,3.399
4.64,1.613,0.024,1.614,3.533,-0.003,3.421
4.65,1.481,0.025,1.592,3.415,-0.001,3.422
4.66,1.799,0.025,1.627,3.519,-0.002,3.438
4.68,1.657,0.023,1.630,3.481,-0.003,3.444
4.68,1.520,0.021,1.610,3.623,-0.003,3.474
4.70,1.549,0.018,1.597,3.180,-0.002,3.425
4.71,1.474,0.018,1.577,3.485,-0.004,3.433
4.72,1.646,0.019,1.589,3.450,-0.004,3.436
4.73,1.590,0.019,1.589,3.387,-0.005,3.427
4.74,1.840,0.022,1.633,3.333,-0.005,3.412
4.75,1.763,0.021,1.655,3.360,-0.005,3.403
4.76,1.878,0.022,1.692,3.586,-0.004,3.434
4.77,1.627,0.019,1.679,3.261,-0.004,3.405
4.78,1.619,0.021,1.671,3.507,-0.004,3.422
4.79,1.713,0.023,1.680,3.469,-0.004,3.430
4.80,1.807,0.024,1.701,3.270,-0.004,3.403
4.81,1.666,0.022,1.694,3.309,-0.003,3.388
4.82,1.656,0.021,1.687,3.309,-0.003,3.375
4.83,1.728,0.022,1.695,3.002,-0.001,3.315
4.84,1.720,0.021,1.698,3.251,-0.001,3.304
4.85,1.716,0.021,1.701,3.165,-0.000,3.282
4.86,1.685,0.020,1.698,3.268,-0.001,3.278
4.87,1.731,0.019,1.702,3.578,-0.003,3.327
4.88,1.430,0.018,1.656,3.413,-0.002,3.342
4.89,1.774,0.014,1.673,3.569,-0.003,3.380
4.90,1.596,0.015,1.661,3.358,-0.002,3.377
4.91,1.508,0.016,1.636,3.641,-0.000,3.422
4.92,1.346,0.017,1.588,3.548,-0.000,3.443
4.93,1.708,0.015,1.607,3.514,0.000,3.455
4.94,1.360,0.016,1.566,3.668,-0.001,3.490
4.95,1.547,0.015,1.562,3.371,-0.003,3.469
4.96,1.557,0.015,1.562,3.603,-0.003,3.491
4.97,1.806,0.018,1.605,3.684,-0.004,3.522
4.98,1.485,0.019,1.586,3.414,-0.006,3.503
4.99,1.703,0.019,1.605,3.554,-0.007,3.511
5.00,1.645,0.018,1.611,3.416,-0.007,3.495
5.01,1.676,0.019,1.622,3.290,-0.006,3.462
5.02,1.610,0.020,1.621,3.512,-0.006,3.470
5.03,1.642,0.019,1.624,3.336,-0.006,3.448
5.04,1.375,0.017,1.581,3.474,-0.006,3.452
5.05,1.754,0.018,1.611,3.313,-0.006,3.429
5.06,1.666,0.019,1.621,3.474,-0.004,3.438
5.07,2.003,0.016,1.682,3.593,-0.002,3.465
5.08,1.405,0.019,1.638,3.308,-0.003,3.439
5.09,1.782,0.018,1.662,3.400,-0.003,3.432
5.10,1.522,0.018,1.639,3.176,-0.002,3.390
5.11,1.754,0.018,1.658,3.658,-0.001,3.435
5.12,1.756,0.019,1.675,3.529,-0.001,3.451
5.13,1.555,0.018,1.655,3.888,-0.001,3.525
5.14,1.762,0.019,1.673,3.605,0.001,3.539
5.15,1.628,0.019,1.666,3.602,-0.000,3.549
5.16,1.666,0.018,1.664,3.448,-0.000,3.532
5.17,1.775,0.018,1.683,3.437,-0.001,3.516
5.18,1.587,0.018,1.667,3.590,0.000,3.529
5.19,1.807,0.017,1.690,3.891,-0.000,3.589
5.20,1.405,0.021,1.645,3.560,0.000,3.585
5.21,1.379,0.021,1.600,3.458,-0.000,3.563
5.22,1.629,0.022,1.606,3.523,-0.003,3.555
5.23,1.676,0.021,1.617,3.658,-0.002,3.572
5.24,1.644,0.022,1.622,3.717,-0.003,3.596
5.25,1.603,0.023,1.620,3.596,-0.003,3.596
5.26,1.809,0.025,1.653,3.678,-0.003,3.610
5.27,1.539,0.026,1.635,3.525,-0.005,3.594
5.28,2.021,0.026,1.699,3.495,-0.005,3.578
5.29,1.767,0.024,1.710,3.491,-0.007,3.562
5.30,1.585,0.027,1.691,3.367,-0.007,3.529
5.31,1.395,0.027,1.642,3.586,-0.006,3.539
5.32,1.670,0.028,1.647,3.527,-0.005,3.538
5.33,1.905,0.029,1.691,3.276,-0.006,3.494
5.34,1.863,0.028,1.719,3.389,-0.007,3.476
5.35,1.543,0.027,1.689,3.554,-0.005,3.490
5.36,1.769,0.029,1.704,3.639,-0.006,3.514
5.37,1.404,0.030,1.655,3.330,-0.007,3.483
5.38,1.620,0.031,1.649,3.483,-0.006,3.484
5.39,1.322,0.031,1.595,3.480,-0.006,3.483
5.40,1.654,0.032,1.605,3.404,-0.007,3.469
5.41,1.427,0.030,1.575,3.565,-0.007,3.485
5.42,1.572,0.030,1.574,3.563,-0.007,3.498
5.43,1.572,0.029,1.572,3.531,-0.007,3.504
5.44,1.803,0.029,1.611,3.543,-0.005,3.511
5.45,1.808,0.028,1.644,3.443,-0.006,3.500
5.46,1.524,0.029,1.624,3.583,-0.006,3.514
5.47,1.741,0.027,1.642,3.604,-0.006,3.528
5.48,1.648,0.028,1.644,3.377,-0.006,3.503
5.49,1.537,0.028,1.626,3.235,-0.007,3.458
5.50,1.645,0.029,1.630,3.540,-0.006,3.472
5.51,1.507,0.030,1.610,3.409,-0.007,3.461
5.52,1.886,0.028,1.655,3.438,-0.008,3.457
5.53,1.665,0.028,1.657,3.824,-0.007,3.519
5.54,1.722,0.028,1.668,3.227,-0.008,3.469
5.55,2.023,0.028,1.728,3.219,-0.007,3.427
5.56,1.661,0.028,1.716,3.637,-0.008,3.463
5.57,1.668,0.031,1.711,3.473,-0.007,3.465
5.58,1.881,0.030,1.739,3.429,-0.006,3.459
5.59,1.493,0.030,1.698,3.335,-0.006,3.439
5.60,1.318,0.030,1.634,3.691,-0.006,3.481
5.61,1.345,0.031,1.587,3.562,-0.006,3.494
5.62,1.758,0.032,1.616,3.130,-0.006,3.433
5.63,1.670,0.030,1.624,3.671,-0.007,3.473
5.64,1.935,0.028,1.674,3.419,-0.007,3.464
5.65,1.629,0.027,1.665,3.667,-0.007,3.498
5.66,1.763,0.028,1.683,3.642,-0.006,3.523
5.67,1.656,0.030,1.680,3.634,-0.008,3.540
5.68,1.476,0.029,1.645,3.443,-0.009,3.523
5.69,1.476,0.030,1.618,3.419,-0.008,3.506
5.70,1.343,0.031,1.573,3.580,-0.009,3.518
5.71,1.253,0.029,1.518,3.531,-0.008,3.521
5.72,1.792,0.031,1.566,3.605,-0.008,3.535
5.73,1.709,0.032,1.590,3.287,-0.008,3.493
5.74,1.610,0.031,1.593,3.571,-0.009,3.506
5.75,1.852,0.034,1.639,3.294,-0.010,3.469
5.76,1.525,0.036,1.621,3.597,-0.010,3.491
5.77,1.547,0.036,1.609,3.503,-0.011,3.492
5.78,1.794,0.035,1.640,3.610,-0.010,3.512
5.79,1.705,0.035,1.650,3.416,-0.012,3.495
5.80,1.593,0.037,1.642,3.437,-0.017,3.481
5.81,1.609,0.035,1.635,3.390,-0.019,3.464
5.82,1.776,0.038,1.661,3.543,-0.021,3.476
5.83,1.698,0.041,1.670,3.482,-0.024,3.474
5.84,1.457,0.041,1.634,3.397,-0.026,3.460
5.85,1.627,0.040,1.632,3.167,-0.024,3.412
5.86,1.544,0.040,1.617,3.555,-0.023,3.438
5.87,1.803,0.038,1.647,3.558,-0.015,3.464
5.88,1.821,0.037,1.675,3.072,-0.015,3.399
5.89,1.858,0.037,1.705,3.514,-0.016,3.418
5.90,1.754,0.036,1.713,3.675,-0.015,3.461
5.91,1.519,0.036,1.681,3.427,-0.015,3.456
5.92,1.634,0.036,1.673,3.455,-0.016,3.455
5.93,1.269,0.037,1.606,3.522,-0.016,3.466
5.94,1.208,0.036,1.539,3.701,-0.015,3.506
5.95,1.598,0.036,1.549,3.608,-0.016,3.523
5.96,1.476,0.035,1.536,3.513,-0.016,3.521
5.97,1.453,0.037,1.523,3.422,-0.016,3.505
5.98,1.581,0.037,1.533,3.602,-0.016,3.521
5.99,1.540,0.036,1.533,3.485,-0.016,3.515
6.00,1.831,0.034,1.582,3.318,-0.016,3.482
6.01,1.510,0.034,1.570,3.406,-0.016,3.469
6.02,1.652,0.032,1.582,3.495,-0.018,3.472
6.03,1.619,0.033,1.589,3.170,-0.018,3.421
6.04,1.584,0.036,1.590,3.290,-0.017,3.400
6.05,1.722,0.035,1.612,3.187,-0.018,3.364
6.06,1.615,0.034,1.612,3.387,-0.020,3.367
6.07,1.539,0.037,1.601,3.289,-0.019,3.354
6.08,1.880,0.037,1.648,3.352,-0.021,3.352
6.10,1.515,0.037,1.626,3.478,-0.021,3.373
6.11,1.425,0.036,1.591,3.671,-0.024,3.421
6.11,1.769,0.039,1.623,3.365,-0.025,3.410
6.13,1.787,0.040,1.652,3.337,-0.026,3.397
6.14,1.468,0.040,1.621,2.985,-0.027,3.327
6.15,1.506,0.041,1.602,3.560,-0.034,3.360
6.15,1.841,0.044,1.645,3.445,-0.041,3.369
6.16,1.613,0.044,1.640,3.600,-0.046,3.403
6.17,1.702,0.047,1.653,3.795,-0.046,3.469
6.18,1.539,0.047,1.634,3.424,-0.044,3.463
6.19,1.342,0.046,1.584,3.115,-0.051,3.399
6.20,1.475,0.050,1.568,3.560,-0.060,3.419
6.22,1.603,0.051,1.575,3.762,-0.066,3.471
