elapsed_sec,pitch_accel,pitch_gyro,pitch_kalman,roll_accel,roll_gyro,roll_kalman
3.89,1.665,0.000,0.004,3.801,0.000,0.008
3.90,1.485,0.001,0.011,3.476,-0.000,0.021
3.91,1.757,0.002,0.022,3.675,-0.002,0.041
3.92,1.467,0.001,0.032,3.576,-0.003,0.068
3.93,1.669,0.003,0.050,3.583,-0.002,0.104
3.94,1.517,0.001,0.065,3.374,0.000,0.144
3.95,1.663,0.002,0.088,3.547,-0.000,0.189
3.96,1.550,0.003,0.111,3.416,-0.000,0.239
3.97,1.407,0.004,0.134,3.081,-0.000,0.287
3.98,1.493,0.001,0.157,3.519,-0.001,0.348
3.99,1.752,-0.000,0.188,3.728,0.000,0.418
4.00,1.674,-0.001,0.220,3.310,-0.001,0.481
4.01,1.485,0.001,0.252,3.380,-0.002,0.549
4.02,1.468,0.002,0.284,3.605,-0.002,0.625
4.03,1.392,0.002,0.313,3.386,-0.002,0.699
4.04,1.492,0.002,0.346,3.337,-0.002,0.772
4.05,1.734,0.002,0.387,3.262,-0.003,0.844
4.06,1.717,0.002,0.427,3.520,-0.003,0.926
4.07,1.725,0.002,0.469,3.575,-0.004,1.010
4.08,1.730,-0.001,0.508,3.586,-0.005,1.094
4.09,1.774,0.001,0.553,3.684,-0.006,1.181
4.10,1.908,0.004,0.603,3.822,-0.007,1.274
4.11,1.692,0.003,0.642,3.918,-0.005,1.372
4.12,1.490,0.002,0.673,3.487,-0.005,1.451
4.13,1.644,0.003,0.711,3.488,-0.006,1.529
4.14,1.701,0.002,0.750,3.726,-0.005,1.616
4.15,2.055,0.002,0.802,3.665,-0.005,1.698
4.16,1.394,0.005,0.830,3.377,-0.005,1.769
4.17,1.493,0.006,0.859,3.376,-0.005,1.837
4.18,1.409,0.006,0.884,3.572,-0.007,1.912
4.19,1.402,0.008,0.909,3.385,-0.005,1.979
4.20,1.610,0.009,0.943,3.720,-0.006,2.057
4.21,1.538,0.008,0.970,3.192,-0.005,2.111
4.22,1.668,0.008,1.001,3.589,-0.007,2.179
